Task,Instance,Frame 
2,1,1 
3,1,1 
1,2,2 
4,2,2 
3,2,3 
3,3,5 
4,3,6 
3,4,7 
4,3,8 
3,5,9 
2,2,11 
3,6,11 
1,3,12 
4,5,12 
3,7,13 
3,8,15 
4,6,16 
3,9,17 
3,10,19 
4,7,20 
2,3,21 
3,11,21 
1,4,22 
4,7,22 
3,12,23 
3,13,25 
4,9,26 
3,14,27 
3,15,29 
4,10,30 
2,4,31 
3,16,31 
1,5,32 
3,17,33 
4,11,34 
3,18,35 
4,11,36 
3,19,37 
3,20,39 
4,13,40 
2,5,41 
3,21,41 
1,6,42 
3,22,43 
4,14,44 
3,23,45 
3,24,47 
4,15,48 
3,25,49 
4,15,50 
2,6,51 
3,26,51 
1,7,52 
3,27,53 
4,17,54 
3,28,55 
3,29,57 
4,18,58 
3,30,59 
2,7,61 
3,31,61 
1,8,62 
4,19,62 
3,32,63 
4,19,64 
3,33,65 
3,34,67 
4,21,68 
3,35,69 
